,CBLOF,FB,HBOS,IF,AVG_KNN,Loc KNN,LOF,MCD,OCSVM,PCA
wine_benchmark_0740.csv,0.4974659486854609,0.4974659486854609,0.4974659486854609,0.4974659486854609,0.4974691553305916,0.4974715549936789,0.4974659486854609,0.4974659486854609,0.4974659486854609,0.4974659486854609
wine_benchmark_0741.csv,0.49744490578090067,0.5360684306121447,0.49744490578090067,0.49744490578090067,0.49744735162731335,0.49745385105028644,0.49744490578090067,0.49744490578090067,0.49744490578090067,0.49744490578090067
wine_benchmark_0742.csv,0.49744245524296676,0.49744245524296676,0.4974416373520947,0.4974416373520947,0.497444089456869,0.49744979279566465,0.4974416373520947,0.4974416373520947,0.4974416373520947,0.4974416373520947
wine_benchmark_0743.csv,0.49745060548119824,0.49745060548119824,0.49745060548119824,0.49745060548119824,0.49745222929936306,0.4974587039390089,0.4974514176489328,0.49745060548119824,0.49745060548119824,0.49745060548119824
wine_benchmark_0744.csv,0.49743095696852924,0.5333073537502292,0.49743095696852924,0.5288415221579961,0.4974334295797241,0.4974375400384369,0.5309256286784377,0.49743095696852924,0.49743095696852924,0.49743095696852924
wine_benchmark_0745.csv,0.5288705583756345,0.49746434231378767,0.49746192893401014,0.49746192893401014,0.5360843593807143,0.4974699557242252,0.530954646368538,0.49746192893401014,0.5288705583756345,0.49746192893401014
wine_benchmark_0746.csv,0.4974514176489328,0.4974530404329831,0.5288607040458745,0.4974514176489328,0.49745385105028644,0.4974578964092787,0.4974530404329831,0.4974514176489328,0.4974514176489328,0.4974514176489328
wine_benchmark_0747.csv,0.4974587039390089,0.4974587039390089,0.4974587039390089,0.4974587039390089,0.4974611234528721,0.4974667511082964,0.497459510955859,0.4974587039390089,0.4974587039390089,0.4974587039390089
wine_benchmark_0748.csv,0.49744490578090067,0.5333204140258082,0.49744490578090067,0.49744572158365263,0.49744816586921853,0.49745222929936306,0.5309386973180077,0.49744490578090067,0.49744490578090067,0.49744490578090067
wine_benchmark_0749.csv,0.5602585654819084,0.5746837934937743,0.49743836055075247,0.5288484630163304,0.5309325650874946,0.5690339354132457,0.5602585654819084,0.5602585654819084,0.5644259496372172,0.5644259496372172
wine_benchmark_0750.csv,0.4974578964092787,0.4974578964092787,0.4974578964092787,0.4974578964092787,0.497459510955859,0.4974667511082964,0.4974587039390089,0.4974578964092787,0.4974578964092787,0.4974578964092787
wine_benchmark_0751.csv,0.5602664326738992,0.5288568921506063,0.49744816586921853,0.5288568921506063,0.5746916456192834,0.5690423162583519,0.5333227040816326,0.5602664326738992,0.5602664326738992,0.5602664326738992
wine_benchmark_0752.csv,0.49744979279566465,0.49744979279566465,0.49744979279566465,0.49744979279566465,0.49745222929936306,0.49745547073791346,0.49744979279566465,0.5288591807459356,0.49744979279566465,0.49744979279566465
wine_benchmark_0753.csv,0.4974587039390089,0.4974587039390089,0.497459510955859,0.4974587039390089,0.49746192893401014,0.4974659486854609,0.4974587039390089,0.4974587039390089,0.4974587039390089,0.4974587039390089
wine_benchmark_0754.csv,0.49745466115176584,0.49745385105028644,0.49745385105028644,0.49745385105028644,0.49745627980922097,0.4974627339042182,0.49745547073791346,0.49745385105028644,0.49745385105028644,0.49745385105028644
wine_benchmark_0755.csv,0.49745060548119824,0.4974514176489328,0.49745060548119824,0.49745060548119824,0.4974530404329831,0.49745627980922097,0.4974514176489328,0.49745060548119824,0.49745060548119824,0.49745060548119824
wine_benchmark_0756.csv,0.5288553639846744,0.5309394616448558,0.497446536865624,0.5288553639846744,0.49744816586921853,0.49745547073791346,0.533321177864892,0.5288553639846744,0.5288553639846744,0.5288553639846744
wine_benchmark_0757.csv,0.49744,0.49744081893793984,0.49744,0.49744,0.49744245524296676,0.497446536865624,0.4974416373520947,0.49744,0.49744,0.49744
wine_benchmark_0758.csv,0.4974675530231086,0.4974675530231086,0.4974667511082964,0.4974667511082964,0.4974691553305916,0.4974731522425774,0.4974675530231086,0.4974667511082964,0.4974667511082964,0.4974667511082964
wine_benchmark_0759.csv,0.497459510955859,0.49746192893401014,0.5288682915211178,0.5288682915211178,0.49746434231378767,0.4974675530231086,0.49746192893401014,0.497459510955859,0.49746031746031744,0.497459510955859
wine_benchmark_0760.csv,0.497446536865624,0.49744816586921853,0.497446536865624,0.497446536865624,0.49744897959183676,0.49745385105028644,0.497446536865624,0.497446536865624,0.497446536865624,0.497446536865624
wine_benchmark_0761.csv,0.49745547073791346,0.4974578964092787,0.49745627980922097,0.49745627980922097,0.49746031746031744,0.49746353836398227,0.4974570883661793,0.49745547073791346,0.49745627980922097,0.49745547073791346
wine_benchmark_0762.csv,0.49743836055075247,0.49743836055075247,0.49743836055075247,0.49743836055075247,0.49744081893793984,0.49744572158365263,0.4974391805377721,0.49743836055075247,0.49743836055075247,0.49743836055075247
wine_benchmark_0763.csv,0.49744735162731335,0.49744979279566465,0.49744735162731335,0.49744735162731335,0.49744979279566465,0.49745466115176584,0.49744897959183676,0.49744735162731335,0.49744816586921853,0.49744735162731335
wine_benchmark_0764.csv,0.49744081893793984,0.49744327261105786,0.49744081893793984,0.49744081893793984,0.49744327261105786,0.49744735162731335,0.4974416373520947,0.49744081893793984,0.49744081893793984,0.49744081893793984
wine_benchmark_0765.csv,0.4974530404329831,0.49745385105028644,0.5288622254059218,0.4974530404329831,0.49745547073791346,0.4974611234528721,0.49745385105028644,0.4974530404329831,0.4974530404329831,0.4974530404329831
wine_benchmark_0766.csv,0.49745547073791346,0.49745466115176584,0.49745466115176584,0.49745466115176584,0.4974570883661793,0.49746353836398227,0.49745466115176584,0.49745466115176584,0.49745547073791346,0.49745466115176584
wine_benchmark_0767.csv,0.497444089456869,0.49744572158365263,0.497444089456869,0.497444089456869,0.49744572158365263,0.49744979279566465,0.49744490578090067,0.497444089456869,0.497444089456869,0.497444089456869
wine_benchmark_0768.csv,0.49744572158365263,0.497446536865624,0.5288553639846744,0.49744572158365263,0.49744816586921853,0.49745385105028644,0.497446536865624,0.49744572158365263,0.49744572158365263,0.49744572158365263
wine_benchmark_0769.csv,0.49746514575411915,0.49746514575411915,0.5288735741444867,0.49746514575411915,0.4974659486854609,0.4974731522425774,0.49746514575411915,0.49746514575411915,0.49746514575411915,0.49746514575411915
wine_benchmark_0770.csv,0.4974659486854609,0.4974659486854609,0.5288743268926196,0.4974659486854609,0.49746835443037973,0.4974731522425774,0.4974667511082964,0.4974659486854609,0.4974659486854609,0.4974659486854609
wine_benchmark_0771.csv,0.49743836055075247,0.4974375400384369,0.49743836055075247,0.4974375400384369,0.49744081893793984,0.49744572158365263,0.49743836055075247,0.4974375400384369,0.49743836055075247,0.4974375400384369
wine_benchmark_0772.csv,0.49744816586921853,0.49745060548119824,0.49744816586921853,0.49744816586921853,0.4974514176489328,0.49745547073791346,0.49744897959183676,0.49744816586921853,0.49744897959183676,0.49744816586921853
wine_benchmark_0773.csv,0.49744327261105786,0.49744245524296676,0.49744245524296676,0.49744245524296676,0.49744490578090067,0.49744979279566465,0.49744245524296676,0.49744245524296676,0.49744245524296676,0.49744245524296676
wine_benchmark_0774.csv,0.4974755443357526,0.4974755443357526,0.4974755443357526,0.4974755443357526,0.4974779319041614,0.4974834853727587,0.4974763406940063,0.4974755443357526,0.4974755443357526,0.4974755443357526
wine_benchmark_0775.csv,0.49743507534466175,0.4974342527261065,0.4974342527261065,0.49743507534466175,0.4974375400384369,0.4974416373520947,0.4974342527261065,0.4974342527261065,0.49743507534466175,0.4974342527261065
wine_benchmark_0776.csv,0.497459510955859,0.4974627339042182,0.497459510955859,0.497459510955859,0.4974627339042182,0.49746835443037973,0.497459510955859,0.497459510955859,0.49746031746031744,0.497459510955859
wine_benchmark_0777.csv,0.49744,0.49744081893793984,0.49744081893793984,0.49744,0.49744245524296676,0.49744735162731335,0.49744081893793984,0.49744,0.49744,0.49744
wine_benchmark_0778.csv,0.49745385105028644,0.4974570883661793,0.5288629853596436,0.49745385105028644,0.4974570883661793,0.49746192893401014,0.49745627980922097,0.49745385105028644,0.49745385105028644,0.49745385105028644
wine_benchmark_0779.csv,0.4974334295797241,0.4974342527261065,0.5309279452640582,0.4974334295797241,0.49743589743589745,0.49743836055075247,0.4974334295797241,0.4974334295797241,0.4974342527261065,0.4974334295797241
wine_benchmark_0780.csv,0.49746353836398227,0.4974667511082964,0.49746434231378767,0.49746434231378767,0.4974667511082964,0.49747075561176096,0.49746434231378767,0.49746353836398227,0.49746353836398227,0.49746353836398227
wine_benchmark_0821.csv,0.4971973094170404,0.4971973094170404,0.4971973094170404,0.4971973094170404,0.4971973094170404,0.4972067039106145,0.4971973094170404,0.4971973094170404,0.4971973094170404,0.4971973094170404
wine_benchmark_0822.csv,0.49722222222222223,0.49722222222222223,0.49722222222222223,0.49722222222222223,0.49722222222222223,0.49722222222222223,0.49722222222222223,0.49722222222222223,0.49722222222222223,0.49722222222222223
wine_benchmark_0823.csv,0.4971687429218573,0.4971687429218573,0.5977349943374858,0.5977349943374858,0.5977349943374858,0.4971815107102593,0.4971751412429379,0.7988674971687428,0.6983012457531144,0.7988674971687428
wine_benchmark_0824.csv,0.49718785151856015,0.49718785151856015,0.49718785151856015,0.5977502812148481,0.49719101123595505,0.4971973094170404,0.5977502812148481,0.6983127109111361,0.5977502812148481,0.6983127109111361
wine_benchmark_0825.csv,0.6982778415614236,0.5977037887485649,0.4971297359357061,0.5977037887485649,0.6227064220183486,0.49714285714285716,0.5977037887485649,0.8994259471871413,0.6982778415614236,0.6982778415614236
wine_benchmark_0831.csv,0.49719101123595505,0.49719101123595505,0.49719101123595505,0.49719101123595505,0.49719101123595505,0.49720044792833146,0.49719101123595505,0.49719416386083054,0.49719101123595505,0.49719101123595505
wine_benchmark_0832.csv,0.4972466960352423,0.4972466960352423,0.4972466960352423,0.4972466960352423,0.4972466960352423,0.49725274725274726,0.4972466960352423,0.49724972497249725,0.4972466960352423,0.4972466960352423
wine_benchmark_0833.csv,0.49720044792833146,0.49720044792833146,0.49720044792833146,0.49720044792833146,0.49720044792833146,0.49720044792833146,0.49720044792833146,0.49720044792833146,0.49720044792833146,0.49720044792833146
wine_benchmark_0834.csv,0.49720044792833146,0.49720357941834453,0.49720044792833146,0.49720357941834453,0.49720357941834453,0.4972067039106145,0.4972067039106145,0.49720044792833146,0.49720044792833146,0.49720044792833146
wine_benchmark_0835.csv,0.49720357941834453,0.4972067039106145,0.49720357941834453,0.49720357941834453,0.4972067039106145,0.49720982142857145,0.4972067039106145,0.49720357941834453,0.49720357941834453,0.49720357941834453
wine_benchmark_0901.csv,0.49486763911399245,0.5106344415969787,0.508159245723062,0.508159245723062,0.5111398197445801,0.4949020660048296,0.508892939658535,0.4948662523642259,0.4948662523642259,0.4948662523642259
wine_benchmark_0902.csv,0.508159245723062,0.4948704103671706,0.4948662523642259,0.508159245723062,0.5106344415969787,0.5307478427612655,0.4948704103671706,0.508159245723062,0.508159245723062,0.508159245723062
wine_benchmark_0903.csv,0.4948662523642259,0.5097126299912677,0.4948662523642259,0.5214522390818982,0.5092911138537488,0.4948993288590604,0.5245534651107406,0.5085162147560851,0.49486763911399245,0.508159245723062
wine_benchmark_0904.csv,0.508159245723062,0.4948717948717949,0.4948662523642259,0.4948662523642259,0.5106344415969787,0.5283655567490154,0.49487317862924984,0.508159245723062,0.508159245723062,0.508159245723062
